Fecha,Importaciones,Exportaciones
2006/06,21634.773,21309.067
2006/07,20188.733,19825.802
2006/08,23601.996,22822.775
2006/09,21971.992,20491.331
2006/10,24503.313,23185.78
2006/11,22466.444,20854.24
2006/12,21274.928,20113.108
2007/01,20676.876,18999.356
2007/02,20007.377,19608.83
2007/03,22038.495,21660.852
2007/04,21835.96,21076.64
2007/05,24535.855,23813.951
2007/06,23591.904,22765.18
2007/07,23329.641,22634.792
2007/08,25554.885,24493.338
2007/09,23779.308,23141.274
2007/10,27649.79,26088.928
2007/11,25152.819,24331.827
2007/12,23796.139,23260.344
2008/01,23996.538,22232.992
2008/02,23978.831,22855.904
2008/03,23756.589,24995.231
2008/04,28117.897,27029.673
2008/05,26014.122,26001.708
2008/06,26135.875,26371.487
2008/07,28762.742,27548.121
2008/08,28110.512,25833.029
2008/09,28020.923,25085.653
2008/10,27721.734,24429.426
2008/11,23234.846,20275.591
2008/12,20752.642,18683.78
2009/01,16789.104,15081.962
2009/02,16613.305,16064.787
2009/03,18554.454,18518.101
2009/04,17203.626,17372.169
2009/05,16788.594,17238.291
2009/06,19569.999,19401.741
2009/07,19254.846,18016.248
2009/08,20234.102,19565.549
2009/09,21818.126,20939.086
2009/10,21880.85,22117.619
2009/11,22493.453,22364.014
2009/12,23184.513,23023.983
2010/01,19634.064,19189.889
2010/02,20879.793,21302.6
2010/03,25710.897,26104.127
2010/04,24764.007,24844.517
2010/05,24623.978,24796.461
2010/06,25336.866,25000.453
2010/07,24364.456,23334.155
2010/08,27615.053,26917.226
2010/09,25861.45,25338.436
2010/10,27317.792,26530.071
2010/11,28254.429,28169.737
2010/12,27119.034,26945.474
2011/01,24532.143,24674.597
2011/02,25461.39,25771.475
2011/03,29899.15,31355.125
2011/04,27200.981,27808.164
2011/05,30541.743,31079.659
2011/06,30300.785,30394.79
2011/07,29030.739,27848.617
2011/08,32292.579,31463.992
2011/09,30644.8,28774.476
2011/10,30554.512,30023.464
2011/11,31248.71,31051.747
2011/12,29135.344,29187.28
2012/01,27548.995,27281.577
2012/02,29517.163,30015.345
2012/03,30839.53,32312.046
2012/04,30481.741,30900.421
2012/05,32801.858,33135.477
2012/06,29657.623,30272.703
2012/07,30704.05,30294.406
2012/08,32641.949,31660.136
2012/09,29069.597,29279.642
2012/10,35564.836,33939.839
2012/11,32716.357,31468.922
2012/12,29207.86,30209.376
2013/01,30152.955,27298.537
2013/02,29066.034,29091.473
2013/03,30127.821,31838.072
2013/04,34087.541,32729.138
2013/05,33305.574,32845.282
2013/06,30168.158,31088.267
2013/07,33651.211,32252.174
2013/08,32902.205,32677.304
2013/09,30726.402,31377.763
2013/10,35217.067,35082.425
2013/11,31363.977,31673.409
2013/12,30441.223,32061.207
2014/01,30233.531,27052.385
2014/02,29543.472,30461.527
2014/03,32287.36,33245.192
2014/04,33561.872,34059.95
2014/05,34251.128,34373.788
2014/06,33050.55,33436.311
2014/07,34690.783,33687.101
2014/08,34483.635,33286.822
2014/09,33667.444,34147.311
2014/10,36945.105,36879.601
2014/11,33407.006,32192.734
2014/12,33862.45,34090.91
2015/01,29815.949,26552.98
2015/02,29124.312,29730.827
2015/03,33664.411,34176.907
2015/04,33041.33,32971.49
2015/05,32357.413,31244.164
2015/06,34588.51,33761.266
2015/07,35071.114,32694.385
2015/08,33830.163,31009.266
2015/09,33661.218,32186.659
2015/10,35598.931,34100.015
2015/11,32593.48,30980.793
2015/12,31887.339,31141.487
2016/01,27977.457,24687.412
2016/02,29749.348,28966.433
2016/03,31406.566,31492.984
