CLAVE,SITIO,CUENCA,CUERPO_DE_AGUA,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,TIPO,SUBTIPO,LONGITUD,LATITUD,ANIO,DBO_mg/L,DQO_mg/L,SST_mg/L,SDT_mg/L,CALIDAD_DBO,CALIDAD_DQO,CALIDAD_SST,CALIDAD_SDT,CUMPLE_CON_DBO,CUMPLE_CON_DQO,CUMPLE_CON_SST,CUMPLE_CON_SDT,SEMAFORO,GRUPO
DLNAY1828,RIO AMECA 9 (RIO AMECA AGUAS ABAJO DE AMATLAN DE CA&AS),AMECA PIJINTO,RIO AMECA,LERMA SANTIAGO PACIFICO,NAYARIT,EL TERRERO,LOTICO,RIO,-104.51882,20.86903,2016,0.5,11.425,50,ND,Excelente,Buena calidad,Buena calidad,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1829,RIO AMECA 11,AMECA PIJINTO,RIO AMECA,LERMA SANTIAGO PACIFICO,JALISCO,SAN SEBASTIAN DEL OESTE,LOTICO,RIO,-104.63206,20.9242,2016,0.5,6.76,28,ND,Excelente,Excelente,Buena calidad,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1830,AHUACATLAN 2,AHUACATLAN,RIO IXTLAN,LERMA SANTIAGO PACIFICO,NAYARIT,AHUACATLAN,LOTICO,RIO,-104.51801,21.05764,2016,6.415,20.77,50.68,ND,Aceptable,Aceptable,Buena calidad,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1831,IXTLAN 2 (DESPUES DE LA DESCARGA MUNICIPAL DE IXTLAN (MEXPAN),AHUACATLAN,RIO IXTLAN,LERMA SANTIAGO PACIFICO,NAYARIT,IXTLAN DEL RIO,LOTICO,RIO,-104.41416,21.03317,2016,0.5,24.43,15.38,ND,Excelente,Aceptable,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1832,ANTES DE LA DESCARGA MUNICIPAL DE IXTLAN,AHUACATLAN,RIO IXTLAN,LERMA SANTIAGO PACIFICO,NAYARIT,IXTLAN DEL RIO,LOTICO,RIO,-104.36413,21.03208,2016,0.5,13.245,6.5,ND,Excelente,Buena calidad,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1833,RIO GRANDE DE SANTIAGO 17,RIO SANTIAGO 4,RIO GRANDE DE SANTIAGO,LERMA SANTIAGO PACIFICO,NAYARIT,LA YESCA,LENTICO,PRESA,-104.23697,21.19246,2016,3.13,7.46,19.96,ND,Buena calidad,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LENTICO
DLNAY1834,PASO DE LA YESCA,RIO SANTIAGO 4,RIO SANTIAGO,LERMA SANTIAGO PACIFICO,NAYARIT,LA YESCA,LENTICO,PRESA,-104.08057,21.18759,2016,0.5,8.29,7.72,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LENTICO
DLNAY1835,PRESA SILIDARIDAD PLAYA GOLONDRINAS,RIO SANTIAGO 5,RIO GRANDE DE SANTIAGO,LERMA SANTIAGO PACIFICO,NAYARIT,DEL NAYAR,LENTICO,PRESA,-104.63705,21.69157,2016,0.5,2.5,2.5,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LENTICO
DLNAY1836,PRESA EL CAJON 5,RIO SANTIAGO 4,PRESA EL CAJON,LERMA SANTIAGO PACIFICO,NAYARIT,SANTA MARIA DEL ORO,LENTICO,PRESA,-104.42236,21.40928,2016,0.5,11.6,4.25,ND,Excelente,Buena calidad,Excelente,ND,SI,SI,SI,ND,Verde,LENTICO
DLNAY1837,PRESA EL CAJON 3,RIO SANTIAGO 4,PRESA EL CAJON,LERMA SANTIAGO PACIFICO,NAYARIT,SANTA MARIA DEL ORO,LENTICO,PRESA,-104.43808,21.42505,2016,0.5,9.945,2.5,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LENTICO
DLNAY1838,PRESA EL CAJON 2 (EN LA CORTINA),RIO SANTIAGO 4,PRESA EL CAJON,LERMA SANTIAGO PACIFICO,NAYARIT,SANTA MARIA DEL ORO,LENTICO,PRESA,-104.44971,21.42987,2016,0.5,7.16,2.5,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LENTICO
DLNAY1839,PRESA EL CAJON 1 (RIO SANTIAGO EL CAJON),RIO SANTIAGO 5,PRESA EL CAJON,LERMA SANTIAGO PACIFICO,NAYARIT,SANTA MARIA DEL ORO,LENTICO,PRESA,-104.46196,21.42495,2016,0.5,6.63,2.5,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LENTICO
DLNAY1840,PRESA EL CAJON 4,RIO SANTIAGO 4,PRESA EL CAJON,LERMA SANTIAGO PACIFICO,NAYARIT,LA YESCA,LENTICO,PRESA,-104.43243,21.43233,2016,2.385,10.77,4.915,ND,Excelente,Buena calidad,Excelente,ND,SI,SI,SI,ND,Verde,LENTICO
DLNAY1841,RIO GRANDE DE SANTIAGO 19 ( CAMPAMENTO LAS YEGUAS),RIO SANTIAGO 5,RIO GRANDE DE SANTIAGO,LERMA SANTIAGO PACIFICO,NAYARIT,SANTA MARIA DEL ORO,LOTICO,RIO,-104.50727,21.4702,2016,0.5,2.5,2.5,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1842,RH12-10 LERMA (RIO GRANDE SANTIAGO/ LAS YEGUAS),RIO SANTIAGO 5,RIO SANTIAGO,LERMA SANTIAGO PACIFICO,NAYARIT,SANTA MARIA DEL ORO,LOTICO,RIO,-104.509639,21.46333,2016,0.5,17.565,2.5,ND,Excelente,Buena calidad,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1843,RIO GRANDE DE SANTIAGO PASO DE LOS BUEYES,RIO SANTIAGO 5,RIO GRANDE SANTIAGO,LERMA SANTIAGO PACIFICO,NAYARIT,SANTA MARIA DEL ORO,LOTICO,RIO,-104.53033,21.51685,2016,5.43,15.285,2.5,ND,Buena calidad,Buena calidad,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1844,ESTERO TEAPAQUE&O PUENTE LA COMPUERTA,GRUPO DE CORRIENTES MARISMAS NACIONALES,ESTERO TEAPAQUE&OS,PACIFICO NORTE,NAYARIT,SANTIAGO IXCUINTLA,COSTERO (HUMEDAL),ESTERO,-105.62304,22.05153,2016,ND,ND,34,ND,ND,ND,Buena calidad,ND,ND,ND,SI,ND,Verde,COSTERO
DLNAY1848,LA ESCONDIDA,RIO SANTIAGO 6,RIO MOLOLOA,LERMA SANTIAGO PACIFICO,NAYARIT,TEPIC,LOTICO,RIO,-104.89884,21.57551,2016,0.5,59.875,54,ND,Excelente,Contaminada,Buena calidad,ND,SI,NO,SI,ND,Rojo,LOTICO
DLNAY1852,DESPUES DE LA DESCARGA MUNICIPAL DE XALISCO,RIO SANTIAGO 6,RIO MOLOLOA,LERMA SANTIAGO PACIFICO,NAYARIT,TEPIC,LOTICO,RIO,-104.85078,21.46606,2016,0.5,21.49,40.5,ND,Excelente,Aceptable,Buena calidad,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1854,PANTANAL,RIO SANTIAGO 6,RIO MOLOLOA,LERMA SANTIAGO PACIFICO,NAYARIT,XALISCO,LOTICO,RIO,-104.829639,21.427426,2016,0.5,2.5,16.75,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1854M1,PANTANAL,RIO SANTIAGO 6,RIO MOLOLOA,LERMA SANTIAGO PACIFICO,NAYARIT,XALISCO,LOTICO,RIO,-104.83639,21.43846,2016,0.5,20.9,53.665,ND,Excelente,Aceptable,Buena calidad,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1856,LAGUNA DE MORA,RIO SANTIAGO 6,LAGUNA,LERMA SANTIAGO PACIFICO,NAYARIT,TEPIC,LENTICO,LAGO,-104.8133,21.51799,2016,0.5,9.985,5.25,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LENTICO
DLNAY1857,"RIO GRANDE DE SANTIAGO 23 (RIO GRANDE DE SANTIAGO ""LA TRISTEZA"")",RIO SANTIAGO 6,RIO GRANDE DE SANTIAGO,PACIFICO NORTE,NAYARIT,EL NAYAR,LOTICO,RIO,-104.9294,21.75344,2016,0.5,2.5,8.25,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1858,RIO GRANDE DE SANTIAGO 22(RIO GRANDE DE SANTIAGO PRESA SAN RAFAEL),RIO SANTIAGO 6,RIO GRANDE DE SANTIAGO,LERMA SANTIAGO PACIFICO,NAYARIT,EL NAYAR,LOTICO,RIO,-104.9103,21.79018,2016,0.5,22.02,8.25,ND,Excelente,Aceptable,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1859,RIO GRANDE DE SANTIAGO 21 (AGUAMILPA),RIO SANTIAGO 6,RIO GRANDE DE SANTIAGO,LERMA SANTIAGO PACIFICO,NAYARIT,TEPIC,LOTICO,RIO,-104.8562,21.7784,2016,0.5,2.5,4.86,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1860,PRESA SOLIDARIDAD 1(P.H. AGUAMILPA 1 CORTINA),RIO SANTIAGO 5,RIO GRANDE DE SANTIAGO,LERMA SANTIAGO PACIFICO,NAYARIT,DEL NAYAR,LENTICO,PRESA,-104.79137,21.8406,2016,2.28,21.19,4.25,ND,Excelente,Aceptable,Excelente,ND,SI,SI,SI,ND,Verde,LENTICO
DLNAY1861,PRESA SOLIDARIDAD 2 (P.H. AGUAMILPA 2),RIO SANTIAGO 5,RIO GRANDE DE SANTIAGO,LERMA SANTIAGO PACIFICO,NAYARIT,DEL NAYAR,LENTICO,PRESA,-104.75009,21.87217,2016,0.5,21.67,2.5,ND,Excelente,Aceptable,Excelente,ND,SI,SI,SI,ND,Verde,LENTICO
DLNAY1862,PRESA SOLIDARIDAD 5 (P.H. AGUAMILPA 5 ),RIO SANTIAGO 5,RIO GRANDE DE SANTIAGO,LERMA SANTIAGO PACIFICO,NAYARIT,DEL NAYAR,LENTICO,PRESA,-104.75163,21.87793,2016,0.5,18.24,5.25,ND,Excelente,Buena calidad,Excelente,ND,SI,SI,SI,ND,Verde,LENTICO
DLNAY1863,PRESA SOLIDARIDAD 3 (P.H. AGUAMILPA 3),RIO SANTIAGO 5,RIO GRANDE DE SANTIAGO,LERMA SANTIAGO PACIFICO,NAYARIT,DEL NAYAR,LENTICO,PRESA,-104.75679,21.8869,2016,0.5,12.05,4.25,ND,Excelente,Buena calidad,Excelente,ND,SI,SI,SI,ND,Verde,LENTICO
DLNAY1864,PRESA SOLIDARIDAD 4 (P.H. AGUAMILPA 4 ),RIO SANTIAGO 5,RIO GRANDE DE SANTIAGO,LERMA SANTIAGO PACIFICO,NAYARIT,DEL NAYAR,LENTICO,PRESA,-104.7436,21.85078,2016,0.5,23.37,16.75,ND,Excelente,Aceptable,Excelente,ND,SI,SI,SI,ND,Verde,LENTICO
DLNAY1865,PRESA SOLIDARIDAD 6 ( P.H. AGUAMILPA 6 LAS ADJUNTAS),RIO SANTIAGO 5,RIO GRANDE DE SANTIAGO,LERMA SANTIAGO PACIFICO,NAYARIT,DEL NAYAR,LENTICO,PRESA,-104.71751,21.83795,2016,0.5,15.215,30.535,ND,Excelente,Buena calidad,Buena calidad,ND,SI,SI,SI,ND,Verde,LENTICO
DLNAY1866,PRESA SOLIDARIDAD 7 (P.H. AGUAMILPA 7 DESEMBOCADURA DEL RIO HUAYNAMOTA),RIO SANTIAGO 5,RIO GRANDE DE SANTIAGO,LERMA SANTIAGO PACIFICO,NAYARIT,DEL NAYAR,LENTICO,PRESA,-104.71246,21.85169,2016,0.5,16.275,36.5,ND,Excelente,Buena calidad,Buena calidad,ND,SI,SI,SI,ND,Verde,LENTICO
DLNAY1867,EL VENADO,RIO SAN PEDRO-MEZQUITAL,RIO SAN PEDRO,PACIFICO NORTE,NAYARIT,RUIZ,LOTICO,RIO,-104.97919,21.94969,2016,0.5,2.5,7.5,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1868,RIO SAN PEDRO 16,RIO SAN PEDRO-MEZQUITAL,RIO SAN PEDRO,PACIFICO NORTE,NAYARIT,RUIZ,LOTICO,RIO,-105.02691,21.94554,2016,0.5,9.97,5.5,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1869,RIO SAN PEDRO 21,RIO SAN PEDRO-MEZQUITAL,RIO SAN PEDRO,PACIFICO NORTE,NAYARIT,RUIZ,LOTICO,RIO,-105.1004,21.9442,2016,0.5,6.865,4.75,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1870,DESP. DE LA DESCARGA MUNICIPAL RUIZ,RIO SAN PEDRO-DESEMBOCADURA,RIO SAN PEDRO,PACIFICO NORTE,NAYARIT,RUIZ,LOTICO,RIO,-105.16369,21.96351,2016,2.3,29.16,282,ND,Excelente,Aceptable,Contaminada,ND,SI,SI,NO,ND,Amarillo,LOTICO
DLNAY1871,RIO SAN PEDRO 19,RIO SAN PEDRO-DESEMBOCADURA,RIO SAN PEDRO,PACIFICO NORTE,NAYARIT,RUIZ,LOTICO,RIO,-105.14664,21.96412,2016,0.5,2.5,20.25,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1872,RIO SAN PEDRO 20,RIO SAN PEDRO-DESEMBOCADURA,RIO SAN PEDRO,PACIFICO NORTE,NAYARIT,RUIZ,LOTICO,RIO,-105.1543,21.96753,2016,2.425,7.635,17.75,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1873,VADO DE SAN PEDRO,RIO SAN PEDRO-DESEMBOCADURA,RIO SAN PEDRO,PACIFICO NORTE,NAYARIT,RUIZ,LOTICO,RIO,-105.17905,21.9505,2016,2.29,14.52,6.5,ND,Excelente,Buena calidad,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1874,RIO SAN PEDRO 17,RIO SAN PEDRO-DESEMBOCADURA,RIO SAN PEDRO,PACIFICO NORTE,NAYARIT,TUXPAN,LOTICO,RIO,-105.28839,21.94226,2016,0.5,8.955,10,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1875,TUXPAN,RIO SAN PEDRO-DESEMBOCADURA,RIO SAN PEDRO,PACIFICO NORTE,NAYARIT,TUXPAN,LOTICO,RIO,-105.29644,21.94596,2016,0.5,30.89,13.25,ND,Excelente,Aceptable,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1877,RIO SAN PEDRO 18,RIO SAN PEDRO-DESEMBOCADURA,RIO SAN PEDRO,PACIFICO NORTE,NAYARIT,TUXPAN,LOTICO,RIO,-105.31162,21.95164,2016,0.5,2.5,18.25,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1879,RH11-1 PRESIDIO-SAN PEDRO (LA BATANGA),RIO SAN PEDRO-DESEMBOCADURA,RIO SAN PEDRO,PACIFICO NORTE,NAYARIT,SANTIAGO IXCUINTLA,COSTERO (HUMEDAL),LAGUNA,-105.44051,21.85797,2016,ND,ND,44,ND,ND,ND,Buena calidad,ND,ND,ND,SI,ND,Verde,COSTERO
DLNAY1879W1,RH11-1 PRESIDIO-SAN PEDRO ( LA BATANGA),RIO SAN PEDRO-DESEMBOCADURA,RIO SAN PEDRO,PACIFICO NORTE,NAYARIT,SANTIAGO IXCUINTLA,LOTICO - COSTERO,LAGUNA,-105.44051,21.85797,2016,2.56,18.61,33,ND,Excelente,Buena calidad,Buena calidad,ND,SI,SI,SI,ND,Verde,COSTERO
DLNAY1880,MARISMAS NACIONALES 6 (EMBARCADERO LA BATANGA MARISMAS NACIONALES 6),RIO SAN PEDRO-DESEMBOCADURA,CUERPO DE AGUA DEL HUMEDAL,PACIFICO NORTE,NAYARIT,SANTIAGO IXCUINTLA,COSTERO (HUMEDAL),MARISMA,-105.46201,21.89964,2016,ND,ND,38,ND,ND,ND,Buena calidad,ND,ND,ND,SI,ND,Verde,COSTERO
DLNAY1880W1,MARISMAS NACIONALES 6 (EMBARCADERO LA BATANGA MARISMAS NACIONALES 6),RIO SAN PEDRO-DESEMBOCADURA,CUERPO DE AGUA DEL HUMEDAL,PACIFICO NORTE,NAYARIT,SANTIAGO IXCUINTLA,LOTICO - COSTERO,MARISMA,-105.46201,21.89964,2016,0.5,16.8,28.75,ND,Excelente,Buena calidad,Buena calidad,ND,SI,SI,SI,ND,Verde,COSTERO
DLNAY1881,RIO SAN PEDRO 14 ( EMBARCADERO LA BATANGA),RIO SAN PEDRO-DESEMBOCADURA,RIO SAN PEDRO,PACIFICO NORTE,NAYARIT,SANTIAGO IXCUINTLA,LOTICO - COSTERO,RIO,-105.46258,21.88845,2016,0.5,14.42,37.215,ND,Excelente,Buena calidad,Buena calidad,ND,SI,SI,SI,ND,Verde,COSTERO
DLNAY1882,MEXCALTITAN (EMBARCADERO),RIO SAN PEDRO-DESEMBOCADURA,RIO SAN PEDRO,PACIFICO NORTE,NAYARIT,SANTIAGO IXCUINTLA,LOTICO - COSTERO,RIO,-105.480175,21.904711,2016,0.5,21.84,48.5,ND,Excelente,Aceptable,Buena calidad,ND,SI,SI,SI,ND,Verde,COSTERO
DLNAY1883,MARISMAS NACIONALES 5,GRUPO DE CORRIENTES MARISMAS NACIONALES,CUERPO DE AGUA DEL HUMEDAL,PACIFICO NORTE,NAYARIT,SANTIAGO IXCUINTLA,COSTERO (HUMEDAL),MARISMA,-105.47519,21.84153,2016,ND,ND,64,ND,ND,ND,Buena calidad,ND,ND,ND,SI,ND,Verde,COSTERO
DLNAY1883W1,MARISMAS NACIONALES 5,GRUPO DE CORRIENTES MARISMAS NACIONALES,CUERPO DE AGUA DEL HUMEDAL,PACIFICO NORTE,NAYARIT,SANTIAGO IXCUINTLA,LOTICO - COSTERO,MARISMA,-105.47519,21.84153,2016,0.5,9.65,30.75,ND,Excelente,Excelente,Buena calidad,ND,SI,SI,SI,ND,Verde,COSTERO
DLNAY1884,RIO SAN PEDRO 13,GRUPO DE CORRIENTES MARISMAS NACIONALES,RIO SAN PEDRO,PACIFICO NORTE,NAYARIT,SANTIAGO IXCUINTLA,LOTICO - COSTERO,RIO,-105.48094,21.85479,2016,0.5,22.68,37,ND,Excelente,Aceptable,Buena calidad,ND,SI,SI,SI,ND,Verde,COSTERO
DLNAY1885,RIO SAN PEDRO 12,GRUPO DE CORRIENTES MARISMAS NACIONALES,RIO SAN PEDRO,PACIFICO NORTE,NAYARIT,SANTIAGO IXCUINTLA,COSTERO,OCEANO-MAR,-105.49191,21.76871,2016,ND,ND,18.445,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLNAY1886,MARISMAS NACIONALES 4 (ZONA ESTAURINA),RIO SAN PEDRO-DESEMBOCADURA,RIO SAN PEDRO,PACIFICO NORTE,NAYARIT,SANTIAGO IXCUINTLA,COSTERO (HUMEDAL),MARISMA,-105.49084,21.76762,2016,ND,ND,20.25,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLNAY1887,RIO SAN PEDRO 11 (BOCA DE CAMICHIN),GRUPO DE CORRIENTES MARISMAS NACIONALES,RIO SAN PEDRO,PACIFICO NORTE,NAYARIT,SANTIAGO IXCUINTLA,COSTERO,OCEANO-MAR,-105.49203,21.7414,2016,ND,ND,33.915,ND,ND,ND,Buena calidad,ND,ND,ND,SI,ND,Verde,COSTERO
DLNAY1888,DESEMBOCADURA RIO SAN PEDRO,GRUPO DE CORRIENTES MARISMAS NACIONALES,RIO SAN PEDRO,PACIFICO NORTE,NAYARIT,SANTIAGO IXCUINTLA,LOTICO - COSTERO,OCEANO-MAR,-105.49234,21.73381,2016,0.5,26.75,30.22,ND,Excelente,Aceptable,Buena calidad,ND,SI,SI,SI,ND,Verde,COSTERO
DLNAY1889,RIO SAN PEDRO 10  ( EL SESTEO),GRUPO DE CORRIENTES MARISMAS NACIONALES,RIO SAN PEDRO,PACIFICO NORTE,NAYARIT,SANTIAGO IXCUINTLA,COSTERO,OCEANO-MAR,-105.48725,21.72706,2016,ND,ND,22.5,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLNAY1890,RIO GRANDE DE SANTIAGO 36 ( VILLA JUAREZ),RIO SANTIAGO 6,RIO GRANDE DE SANTIAGO,PACIFICO NORTE,NAYARIT,SANTIAGO IXCUINTLA,LOTICO,RIO,-105.39557,21.68544,2016,0.5,10.265,56.5,ND,Excelente,Buena calidad,Buena calidad,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1891,RIO GRANDE DE SANTIAGO 35 (RIO GRANDE DE SANTIAGO PIMIENTILLO),RIO SANTIAGO 6,RIO GRANDE DE SANTIAGO,LERMA SANTIAGO PACIFICO,NAYARIT,SAN BLAS,LOTICO,RIO,-105.35257,21.68378,2016,0.5,14.765,56.25,ND,Excelente,Buena calidad,Buena calidad,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1892,RIO GRANDE DE SANTIAGO 34 (PUERTA DE MANGOS),RIO SANTIAGO 6,RIO GRANDE DE SANTIAGO,PACIFICO NORTE,NAYARIT,SANTIAGO IXCUINTLA,LOTICO,RIO,-105.33073,21.71583,2016,0.5,10.265,48.93,ND,Excelente,Buena calidad,Buena calidad,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1893,DESEMBOCADURA DEL RIO AMECA A PLAYA NUEVO VALLARTA,AMECA IXTAPA B,TRANSICION RIO - MAR,LERMA SANTIAGO PACIFICO,NAYARIT,BAHIA DE BANDERAS,LOTICO - COSTERO,RIO,-105.2847,20.67752,2016,0.5,2.5,35,ND,Excelente,Excelente,Buena calidad,ND,SI,SI,SI,ND,Verde,COSTERO
DLNAY1894,RIO GRANDE DE SANTIAGO 33 (VILLA HIDALGO),RIO SANTIAGO 6,RIO GRANDE DE SANTIAGO,PACIFICO NORTE,NAYARIT,SANTIAGO IXCUINTLA,LOTICO,RIO,-105.24646,21.74371,2016,0.5,14.37,28.425,ND,Excelente,Buena calidad,Buena calidad,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1896,RIO GRANDE DE SANTIAGO 32 (SOBRE EL PUENTE DE LA PRESA SANTIAGO),RIO SANTIAGO 6,RIO GRANDE DE SANTIAGO,PACIFICO NORTE,NAYARIT,SANTIAGO IXCUINTLA,LOTICO,RIO,-105.20355,21.806102,2016,0.5,6.83,27.15,ND,Excelente,Excelente,Buena calidad,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1898,CAPOMAL,RIO SANTIAGO 6,RIO SANTIAGO,PACIFICO NORTE,NAYARIT,SANTIAGO IXCUINTLA,LOTICO,RIO,-105.11465,21.83065,2016,0.5,24.515,14.25,ND,Excelente,Aceptable,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1899,RIO GRANDE DE SANTIAGO 30,RIO SANTIAGO 6,RIO GRANDE DE SANTIAGO,PACIFICO NORTE,NAYARIT,SANTIAGO IXCUINTLA,LOTICO,RIO,-105.07079,21.82581,2016,0.5,15.075,16,ND,Excelente,Buena calidad,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1900,RIO GRANDE DE SANTIAGO 29,RIO SANTIAGO 6,RIO GRANDE DE SANTIAGO,LERMA SANTIAGO PACIFICO,NAYARIT,SANTIAGO IXCUINTLA,LOTICO,RIO,-105.04134,21.74392,2016,0.5,13.345,11.5,ND,Excelente,Buena calidad,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1901,ARROYO EL CAIMANERO,RIO SANTIAGO 6,ARROYO EL CAIMANERO,PACIFICO NORTE,NAYARIT,SANTIAGO IXCUINTLA,LOTICO,ARROYO,-105.10037,21.83749,2016,0.5,19.005,36.5,ND,Excelente,Buena calidad,Buena calidad,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1902,RIO GRANDE DE SANTIAGO 28,RIO SANTIAGO 6,RIO GRANDE DE SANTIAGO,PACIFICO NORTE,NAYARIT,SANTIAGO IXCUINTLA,LOTICO,RIO,-105.01189,21.73855,2016,0.5,15.06,17.5,ND,Excelente,Buena calidad,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1903,RIO GRANDE DE SANTIAGO 27,RIO SANTIAGO 6,RIO GRANDE DE SANTIAGO,PACIFICO NORTE,NAYARIT,SANTIAGO IXCUINTLA,LOTICO,RIO,-105.00021,21.74651,2016,0.5,12.125,19.75,ND,Excelente,Buena calidad,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1904,RIO GRANDE DE SANTIAGO 26,RIO SANTIAGO 6,RIO GRANDE DE SANTIAGO,PACIFICO NORTE,NAYARIT,SANTIAGO IXCUINTLA,LOTICO,RIO,-104.97653,21.7335,2016,4.07,14.16,8,ND,Buena calidad,Buena calidad,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1904M1,RIO MOLOLOA (SALAZARES),RIO SANTIAGO 6,RIO MOLOLOA,LERMA SANTIAGO PACIFICO,NAYARIT,TEPIC,LOTICO,RIO,-104.97897,21.71096,2016,5.665,24.835,102.5,ND,Buena calidad,Aceptable,Aceptable,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1905,RIO GRANDE DE SANTIAGO 25,RIO SANTIAGO 6,RIO GRANDE DE SANTIAGO,PACIFICO NORTE,NAYARIT,SANTIAGO IXCUINTLA,LOTICO,RIO,-104.97279,21.73585,2016,5.01,2.5,7,ND,Buena calidad,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1905M1,"ARROYO SANTA ROSA, CONFLUENCIA CON EL RIO SANTIAGO",RIO SANTIAGO 6,ARROYO SANTA ROSA,LERMA SANTIAGO PACIFICO,NAYARIT,TEPIC,LOTICO,ARROYO,-104.92839,21.7556,2016,0.5,2.5,14.75,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1906,EL JILE&O,RIO SANTIAGO 6,RIO SANTIAGO,LERMA SANTIAGO PACIFICO,NAYARIT,SANTIAGO IXCUINTLA,LOTICO,RIO,-105.03391,21.72693,2016,0.5,19.665,8.75,ND,Excelente,Buena calidad,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLNAY1907,LAGO DE MANANTIAL LA CAMALOTA,SAN BLAS,LA CAMALOTA,LERMA SANTIAGO PACIFICO,NAYARIT,SAN BLAS,COSTERO,ESTERO,-105.20664,21.52826,2016,ND,ND,2.5,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLNAY1908,LA TOVARA 2 (LA TOVARA),SAN BLAS,CUERPO DE AGUA DEL HUMEDAL,LERMA SANTIAGO PACIFICO,NAYARIT,SAN BLAS,COSTERO (HUMEDAL),ESTERO,-105.24732,21.53213,2016,ND,ND,2.5,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLNAY1909,LA TOVARA 3 (ESTERO EL CONCHAL),SAN BLAS,ESTERO EL CONCHAL,LERMA SANTIAGO PACIFICO,NAYARIT,SAN BLAS,COSTERO (HUMEDAL),ESTERO,-105.27271,21.54544,2016,ND,ND,35,ND,ND,ND,Buena calidad,ND,ND,ND,SI,ND,Verde,COSTERO
